Chinese,English
挺,very
成功,success
奇怪,strangeness
虽然,Although
忘,forget
太好了,Very good
身上,On
或许,perhaps
讲,speak
你們,you
岁,age
有个,is having a
保证,ensure
外面,Outside
丈夫,husband
连,even
国家,nation
整个,entire
特别,very
那种,That kind
不同,different
著,write
很快,soon
变成,become
够,enough
难道,Rate
学校,School
一件,One
样子,Look
倒,fall
电影,Movie
谈谈,Talk
危险,Danger
开心,happy
别的,Other
这件,this
才能,Can
闭嘴,Shut up
正,just
进行,conduct
照片,Photo
話,talk
刚刚,just
而已,Yet
完成,Finish
誰,Who
ﺎ,ا
方式,Way
做到,Do
爸,dad
因為,because
声音,sound
第一次,the first time
看来,Look
只能,Can only
現在,now
太太,Mrs
下去,Go down
绝对,absolute
处理,deal with
欢迎,welcome
眼睛,Eye
通过,pass through
行动,action
啥,What
感到,feel
最近,recent
聽,hear
各位,Allocate
这边,Here
待,treat
掉,Lose
不好意思,Excuse me
猜,Guess
使,make
作为,Be
于,At
狗,dog
容易,easy
沒有,no
直到,until
求,begging
比赛,Contest
像是,Like
麽,?
從,from
拉,pull
拍,shoot
更好,better
曾,Once
有趣,interesting
就算,Even if
活着,Alive
不會,Will not
ﻟ,ل
努力,effort
帮忙,help
留下,Leave
同意,agree
参加,join
赢,win
死亡,die
每,Every
上面,above
结果,result
消息,information
要求,Require
理解,understand
曾经,once
打开,Open
收到,receive
照顾,take care of
人类,Humanity
主意,idea
保持,Keep
成,become
杰克,Jack
存在,exist
进,Enter
高,high
晚安,Good night
确实,really
全部,all
靠,Depend on
呆,stay
起,rise
謝謝,thanks
讨厌,Hate
俩,both
硂,Bamboo
突然,Sudden
多久,how long
老婆,Wife
不再,no longer
任何人,anyone
开玩笑,joke
放在,Put in
τ,τ
那個,that
进入,Enter
父母,parents
总统,President
伤害,harm
時候,when
回答,answer
一位,One
三个,Three
所有人,Everyone
老师,teacher
早,morning
除了,Apart from
派,group
咱们,we
自由,free
可爱,cute
日,day
抓住,catch
路,road
谈,talk
简单,Simple
身体,Body
想法,idea
早上,Morning
這麼,so
ﺍ,ا
能够,were able
昨晚,last night
哥哥,elder brother
我爱你,I love you
跳,Jump
秘密,secret
休息,rest
战争,war
其中,in
内,Inside
医院,hospital
每天,every day
之间,between
大概,perhaps
控制,control
刚,just
小孩,Child
带来,bring
停止,stop
因此,therefore
花,flower
证明,prove
约翰,John
飞机,airplane
替,for
解释,explain
律师,lawyer
终于,finally
耶,Yeah
翻译,translate
调查,investigation
告訴,Tell
为何,Why
留在,Stay in
糟糕,Oops
任务,Task
武器,arms
家里,At home
头,head
来自,From
后面,later
小子,Boy
来到,come
解决,solve
其他人,other people
家人,family
坐下,sit down
怕,Afraid
直接,direct
办公室,office
停,stop
放弃,give up
鬼,ghost
別,do not
加油,come on
方法,method
游戏,game
即使,even though
本,Book
年轻,young
大人,grown ups
使用,use
卖,Sell
老板,boss
水,water
想想,Think about
坐在,Sit
目标,Target
变得,Become
可怕,horrible
拿到,Get
考虑,consider
个人,personal
开枪,shot
哭,cry
睡觉,sleep
請,Please
分钟,minute
想到,think
等待,wait
音乐,music
再说,Then
聪明,clever
姑娘,girl
地球,Earth
感谢,grateful
命令,Order
阻止,Prevent
一只,One
消失,disappear
喜歡,like
心,Heart
第,First
冷静,calm down
似乎,seem
联系,connect
家庭,family
痛苦,pain
城市,City
力量,strength
对于,for
未来,future
男孩,boy
三,three
博士,PhD
姐姐,elder sister
疯狂,crazy
报告,Report
放下,lay down
昨天,yesterday
那天,That day
還有,and
完美,Perfect
答应,promise
证据,evidence
本来,originally
负责,responsible
检查,an examination
見,See
已經,already
一条,One
厉害,Great
拥有,have
正常,normal
并且,and
否则,otherwise
該,Should
以及,as well as
重新,again
忘记,forget
这位,this
研究,Research
附近,nearby
不然,otherwise
太棒了,marvelous
很棒,great
方正,Square
字幕,subtitle
脸,Face
者,By
加入,join in
於,At
唱,Sing
反正,Anyway
不该,Should not
政府,government
快乐,hapiness
身边,Beside
遇到,meet
這裡,here
伟大,great
咖啡,coffee
接,catch
仍然,still
门,door
开车,drive
代表,represent
陪,accompany
若,like
尸体,Corpse
比较,compare
一年,One year
紧张,nervous
监狱,prison
位置,Location
随便,Casual
偷,steal
安排,arrange
錢,money
表演,Performance
从没,Never
除非,unless
屁股,butt
這些,These
酒,liquor
恩,kindness
老兄,Brother
支持,support
必要,necessary
人生,Life
正确,correct
跟着,Follow
杀死,Kill
交给,Give
叔叔,uncle
還是,still is
食物,food
事实,fact
简直,simply
安静,Quiet
离,Leave
一场,A game
妹妹,younger sister
斯,State
美丽,beauty
再次,again
案子,case
下面,under
不够,not enough
哈,what
可怜,pitful
教,teach
殺,kill
首先,Firstly
另外,in addition
提供,supply
记住,remember
听见,hear
信,letter
国王,king
面前,before
几乎,almost
日子,day
那麼,So
舒服,Comfortable
原来,original
再也,Again
操,Hold
纽约,New York
早就,Long
逼,force
有关,related
放开,open
信息,information
星期,Week
不得不,have to
发誓,swear
钥匙,key
错误,Mistake
放松,relax
约会,Dating
船,ferry
打扰,disturb
女,Female
手机,mobile phone
二,two
很大,Very big
到处,everywhere
攻击,attack
一份,A copy
第一,First
建议,suggestion
日本,Japan
理由,reason
事实上,In fact
一樣,Same
阿,A
跳舞,Dance
生气,anger
久,Long
试试,Try
信任,trust
此,this
看过,Seen
差不多,almost
原谅,forgive
神,God
经常,frequently
的确,indeed
ㄓ,Bamboo
之一,one
幸福,happiness
哎,Hey
便,Fool
马,horse
算,Calculate
吃饭,Have a meal
璶,Bamboo
正是,Entirely
不必,Not necessarily
最大,maximum
幸运,lucky
丢,leave
我家,my home
問題,problem
长,long
東西,thing
而是,Why
住手,stop
动物,animal
弟弟,Little brother
道歉,Apologize
严重,severe
人家,People
坚持,insist
想象,Imagination
按,according to
礼物,gift
每次,Each
将军,General
剩下,remain
有事,Have something to do
老爸,Father
幫,help
系统,system
全都,all
组织,organization
我會,I can
敌人,enemy
看上去,Look
應該,should
老天,Old days
ê,ê
认真,serious
分,Minute
书,Book
往,Past
关心,Care
坏,Bad
骗,cheat
中国,China
生意,Business
上去,Go up
值得,worth
搞定,Get
寻找,Look for
派对,Party
许多,many
学生,student
查理,Charlie
下次,next time
通知,Notice
救命,Help
表现,Performance
利用,use
受伤,Injuried
后来,later
早上好,Good morning
精神,Spirit
居然,Actually
受到,Be subject to
大学,University
那时,At that time
既然,now that
几天,A few days
有时,sometimes
米,rice
总,total
一张,One
第一个,First
真相,the truth
恨,hatred
卡,Card
不知,Don't know
远,Far
警官,police officer
属于,belong
什,Varied
い,Do
可不是,Be no
怪,Strange
一名,One
怀疑,Doubt
笨蛋,Fool
战斗,fighting
承认,admit
馬,horse
法律,law
别说,Don't say
简体,Simplified
记录,record
见面,Meet
能力,ability
足够,enough
帶,belt
瞧,Look at
同样,same
白痴,idiot
拒绝,Refuse
影响,Influence
画,painting
其,That
德,Morality
交易,trade
回來,return
别动,do not move
管,Tube
开门,Open door
意味着,mean
或是,Or
美,nice
教授,professor
享受,enjoy
時間,time
喝酒,drink wine
好多,many
接下来,Next
開始,Start
腿,leg
走开,Walk away
合作,cooperate
女朋友,girlfriend
好吃,good to eat
事件,event
出发,Set off
酒吧,bar
多么,how
不如,Not as good as
指,refer to
客人,guest
换,Change
梦想,dream
英雄,hero
傻,Silly
血,Blood
扔,Throw
藏,Tibetan
杀人,kill
一会儿,For a while
沒事,fine
变,Change
约,make an appointment
行为,behavior
头发,hair
适合,Suitable for
穦,Bamboo
恭喜,Congratulations
上次,Last time
地狱,hell
不在乎,not give a damn about
生,pregnancy
哪个,Which one
实在,really
路上,On the road
接近,near
不准,Not allow
银行,Bank
碰,bump
介绍,introduce
一旦,once
味道,smell
实际上,Actually
感受,Feel
身份,identity
意外,Accident
一般,generally
吓,scare
停下,Stop
意义,significance
拜,bye
来看,Come to see
婊子,Scorpion
梦,dream
学习,learn
同时,at the same time
不起,Catch up
呼吸,breathe
是从,From
经历,experience
凶手,murderer
目前,Currently
威胁,threaten
没法,Can't
有时候,sometimes
英国,UK
男,male
什么样,What
老大,Boss
受,by
愚蠢,madness
算了,never mind
真实,reality
婚礼,wedding
在家,at home
允许,allow
军队,army
电视,television
一家,A family
灵魂,soul
谢,Thanks
如,like
道,road
究竟,after all
戴,Wear
无论,regardless
谋杀,murder
立刻,immediately
特,special
躺,lie
试图,attempt
客气,polite
文件,document
敢,dare
慢慢,Slowly
ﻴ,Baux
前面,Front
奶奶,grandmother
黑,black
答案,Answer
棒,Great
新闻,news
多谢,Thank you
可不,No
ぐ,Bamboo
長,long
欠,owe
一遍,Over again
达,Reach
权利,right
做出,Make
历史,history
挂,hang
好了吗,Ok
意识,consciousness
追,Chase
下午,afternoon
尝试,try
乔治,George
经过,go through
获得,get
仍,still
饿,hunger
ﺃ,Bamboo
部分,part
活,live
當然,Of course
队,team
带走,take away
竟然,it turns out
ﺮ,Odd
失败,Fail
一生,lifetime
黑暗,dark
中心,center
麦克,Mike
警告,warn
大哥,Big brother
显然,Obvious
碞,cliff
根据,according to
动,move
不過,but
自杀,suicide
这事,This issue
训练,train
万,ten thousand
令人,People
ﻣ,م
难,difficult
街,Street
越,cross
搬,move
好人,Good man
少,few
迟到,be late
恐怕,I am afraid
一杯,A cup
病,sick
没用,Useless
讨论,discuss
爆炸,explode
因,because
美好,good
放心,rest assured
长大,grow up
微软,Microsoft
令,make
没人,no one
辛苦,Hard
尽管,although
美元,Dollar
吻,kiss
收拾,tidy
包括,include
弗兰克,Frank
面对,face
跟我来,follow me
公寓,apartment
雅黑,Elegant black
邀请,invite
求求,please
生日,Birthday
留,Keep
法官,Judge
方向,direction
一块,piece
法国,France
一半,half
借,borrow
确认,confirm
玩笑,joke
躲,hide
金,gold
病人,patient
目的,Purpose
公主,Princess
一会,a while
我刚,I just
最终,finally
士兵,Soldier
怎,How
其它,other
反对,be opposed to
傻瓜,fool
晚,Night
拿走,Take away
那家伙,that guy
对方,other side
警方,police
假,Fake
次,Second-rate
不介意,do not mind
赶快,hurry up
失望,Disappointed
无,none
出生,born
酒店,hotel
德国,Germany
上班,work
覺得,feel
要说,Have to say
造成,cause
破坏,destroy
到达,arrive
间,between
巴黎,Paris
药,medicine
不见,not see
冷,cold
男朋友,Boy friend
想起,Remember
老公,husband
教堂,church
起來,stand up
做好,Do well
盾,shield
就行了,Take it
拯救,save
祝,wish
字,Character
媽媽,mother
一句,A sentence
幹,Do
子弹,bullet
节目,programme
飞,fly
玛丽,Mary
方面,aspect
不敢相信,unbelievable
安娜,Anna
晚餐,dinner
不让,Do not let
越来越,Get more and more
巨大,huge
很漂亮,very beautiful
伦敦,London
啤酒,beer
好看,nice
感情,emotion
自然,nature
汤姆,Tom
一把,One
一步,step
逮捕,arrest
超过,Exceed
時,Time
赶紧,Hurry
炸弹,bomb
全,Complete
将会,will
主人,Owner
可惜,pity
算是,Be
上校,Colonel
家族,family
猫,cat
哥们,Buddy
恶心,Nausea
陛下,His Majesty
从未,Never
球,ball
彼得,Peter
通常,usually
名,name
只会,Only
撒谎,lie
兴趣,interest
旅行,travel
吹,blow
雷,Thunder
没想到,did not expect
比如,for example
人民,people
穿着,Wear
干净,clean
不少,Many
回事,Incident
提,carry
滚,roll
克,gram
用来,Use
队长,team leader
公平,fair
愉快,joy
不幸,Unlucky
ﻳ,Baux
选,select
好不好,OK
电脑,computer
火车,train
有意思,interesting
乔,Joe
抱,hug
干得,Do well
说得对,Yes
ﻧ,ن
ﺪ,®
爱情,love
还给,Also give
加,add
校对,Proofreading
一边,One side
宇宙,universe
请问,Excuse me
一點,a little
死去,Dead
心情,Feeling
撞,Collide
明显,obvious
不敢,Not dare
找个,Find a
现场,on site
一部分,Part
ﻨ,ن
失踪,Missing
未,not yet
毁,destroy
垃圾,Rubbish
十分,very
愛,Love
相当,quite
の,Ration
這兒,here
鱼,fish
接着,then
不可,Cannot
同,same
健康,healthy
提醒,remind
包,Bag
测试,test
随时,at any time
事儿,thing
遗憾,Pity
犯罪,crime
治疗,treat
狗屎,Shit
這種,This
命,Life
太阳,Sun
你别,Don't
习惯,Habit
大卫,David
怪物,monster
靠近,near
反应,reaction
某个,Some
意见,opinion
蛋糕,cake
时刻,time
于是,then
床上,Bed
责任,responsibility
充满,full
热,hot
多年,for many years
楷体,Norm
亨利,Henry
心里,In the heart
说谎,lie
自,since
见鬼,Gain
份,share
干吗,Do you do it?
脚,foot
祈祷,pray
疯子,madman
差点,Almost
我该,I should
好极了,great
说真的,seriously
ﻮ,Ing
活动,Activity
块,piece
对付,Deal with
命运,destiny
醫生,Doctor
查,check
罗马,Rome
發生,occur
同志,Comrade
臭,Smelly
必須,must
照,According to
服务,Serve
糟,Worse
尊重,respect
关闭,closure
準備,Prepare
期待,expect
号码,Number
资料,material
て,て
机器,machine
读,read
盯,stare
关,close
办,manage
天使,Angel
去过,Go
难过,sad
快點,hurry up
记忆,memory
女士们,Ladies
過來,come over
线索,clue
正好,Just
秒,second
表示,Express
脑袋,Head
爷爷,grandfather
探员,Probing
移动,move
错过,miss
旁边,beside
留下来,stay
彼此,each other
社会,society
好事,Good thing
跟踪,track
唔,Well
尼克,Nick
疼,pain
弧,arc
及,and
不断,Constantly
た,Precursively
私人,private
嘴,mouth
上床,Go on bed
好玩,Fun
神父,Priest
周围,around
就让,Let
自从,since
叫做,Be called
主要,main
这场,This
创造,create
无聊,Boring
作品,work
制作,Make
干杯,cheers
保罗,Paul
装,Pack
第二,second
四个,Four
法庭,court
设计,design
干掉,Do it off
稱,say
这点,this point
压力,pressure
轻松,easy
哥,elder brother
上车,boarding
说明,instruction
谈论,talk
與,and
超级,super
停下来,stop
抢,grab
区,Area
要么,Either
两,two
速度,speed
有钱,rich
确保,make sure
詹姆斯,James
手上,Hand on your hand
周末,weekend
没见,Gone
警长,Chief
袭击,Attack
感覺,Feel
主,host
刀,Knife
咬,bite
上来,Come up
尤其,especially
你家,your home
船长,captain
浪费,waste
怎麼樣,How about it
怀孕,Pregnant
婚姻,marriage
副,vice
信号,Signal
天堂,Heaven
恐怖,fear
角色,Role
心脏,heart
恐惧,fear
赚,earn
很难,Very difficult
去世,Die
性感,Sexy
记者,reporter
笵,bamboo mold
離開,Leave
嘘,Hiss
客户,customer
由于,because
庆祝,celebrate
嫁给,Marry
总之,In short
惊喜,surprise
土地,land
更加,more
四,Four
出來,come out
安,install
处,Place
会议,Meeting
女性,female
技术,Technology
送到,Deliver
年轻人,young people
官,official
地址,address
困难,difficulty
惹,provoke
件,Piece
在乎,care
和平,Peace
制造,manufacture
离婚,divorce
認為,think
那好,Well
似的,Like
非常感谢,Thank you so much
同学,classmate
请求,ask
看不到,can not see
常,often
动作,action
不停,Keep
今年,This year
歌,Song
演出,show
参与,participate
艾,Ai
逃跑,Escape
一点点,a little bit
香港,Hongkong
汽车,car
杀手,Killer
提到,Mention
兴奋,excited
丹尼,Danny
剩,Remain
毒品,poison
史,history
踢,Kick
分手,separate
问问,Ask
做爱,Make love
马克,mark
一群,group
好处,benefit
宝宝,Baby
森林,Forest
赢得,win
生存,Survive
厕所,toilet
な,な
荣幸,Pleasure
报警,Call the police
地上,Ground
送给,Give
喝一杯,have a drink
世上,In the world
想念,miss
这会,this will
大约,About
可恶,hateful
合适,Suitable
普通,ordinary
天才,genius
生物,biology
之中,In
肉,Meat
妓女,prostitute
尽快,ASAP
报纸,newspaper
俱乐部,club
提出,propose
正式,formal
洗,wash
政治,politics
从不,Never
一辈子,lifetime
取消,Cancel
两年,Two years
监视,Monitor
产生,produce
犹太人,Jewish
玩意,Put in
班,class
搞砸,Engage in
只不过,only
显示,show
价值,value
带到,Bring to
吉姆,Jim
恶魔,demon
一周,A week
状况,situation
那位,That bit
辦,manage
作,do
建立,Establish
山姆,Sam
高中,high school
娶,Marry
ﻲ,Baux
说实话,to be honest
去年,last year
厨房,kitchen
特殊,special
黑人,Black person
邪恶,evil
勇敢,Brave
不算,Not
石头,Stone
等到,wait until
假装,pretend
运动,sports
介意,mind
转,change
兩個,two
手下,Underwent
两天,Two days
摆,put
印度,India
耶稣,Jesus
手指,finger
思考,think
累,tired
沒錯,Be right
机场,Airport
茶,Tea
地点,Place
恢复,recover
夜晚,night
帽子,hat
执行,implement
比尔,Bill
输,lose
时代,era
状态,state
餐厅,Dinning room
人会,People will
ﻠ,ل
呵呵,hehe
ﺘ,ت
意大利,Italy
犯,Criminal
背叛,betray
魔鬼,Devil
情报,intelligence
人员,personnel
专家,expert
那樣,Then
了不起,amazing
店,shop
不怕,Not afraid
骄傲,pride
哎呀,Oops
差,Difference
唱歌,Sing
学,learn
站住,stop
眔,Bamboo
之类,such as
满足,satisfy
所说,Said
吉米,Jimmy
も,Bamboo
停车,parking
现实,Reality
牺牲,sacrifice
胜利,victory
好消息,good news
见过,See
条,strip
引起,cause
醒来,wake up
猪,pig
一辆,One
下车,get off
不许,Not allow
颜色,color
有用,it works
暂时,temporary
投票,vote
证人,witness
想像,imagine
鸟,bird
全世界,worldwide
買,Buy
迈克,Mike
拍摄,Shoot
冒险,adventure
部队,force
王子,Prince
ﻫ,Bamboo
发展,developing
顺利,smoothly
甜心,sweetheart
谈话,conversation
開,open
不去,Not going
吸血鬼,vampire
筁,Bamboo
张,Sheet
ﻤ,م
吸引,absorb
还会,Also
字幕组,subtitle group
动手,Handle
老实,honest
比利,Billy
它会,it will
一段,A paragraph
激动,Excited
条件,condition
白,White
特工,Agent
爬,climb
光,Light
五,five
早餐,breakfast
追踪,track
發現,Find
废话,nonsense
演员,actor
哼,Humph
亲自,personally
一个月,A month
所谓,So-called
听听,Listen
复杂,complex
é,é
学会,learn
距离,distance
同性恋,Gay
係,Tie
外,outside
发,send
这份,This copy
好笑,funny
碰到,bump into
受不了,Can't stand
醒醒,Wake up
做些,Do some
成员,member
想着,Think
绑架,Kidnap
即将,Soon
发射,emission
抽,smoke
威尔,Will
真是太,Really
痛,pain
魔法,magic
这才,This only
莎拉,Sarah
把手,handle
分享,share
ㄆ,Bamboo
我覺,I felt
年前,Ago
ü,ü
冲,rush
然而,However
感激,gratitude
同事,colleague
收,receive
神秘,mystery
上尉,Captain
面,noodle
搭,take
难以置信,incredible
迈克尔,Michael
哈利,Harry
车里,In the car
傢,Family
桌子,table
禁止,prohibit
一段时间,a period of time
交流,comminicate
带上,Bring on
放手,Let go
临,Pretty
英里,mile
几年,several years
安妮,Anne
公园,garden
边,side
别管,Don't work
克里斯,Chris
非,No
早安,Good morning
中间,middle
癸,Fancy
整天,All day
我想,I think
巧克力,chocolate
找出,Find out
强大,powerful
受害者,victim
某些,some
后悔,regret
您好,Hello
一分钟,One minute
精彩,Wonderful
有點,A bit
卡尔,Carl
睡着,sleep
果然,really
人人,Everyone
基地,base
两位,Two
一片,one slice
时间轴,Timeline
单独,alone
名单,List
病毒,Virus
过程,process
急,urgent
左右,about
生病,Get ill
种,kind
人物,figure
尿,Urine
戒指,ring
自我,self
立即,immediately
女生,girl
星球,Planet
变化,Variety
卡车,truck
怎樣,how
空间,space
穿过,Pass through
象,elephant
旅馆,hostel
打死,Kill
观众,audience
依然,still
做事,work
三年,Three years
ﺑ,ب
他来,he comes
火,fire
乐队,band
飞行,flight
接到,Receive
る,る
两次,twice
导演,director
满意,satisfy
認識,know
导致,Lead to
要死,Be able to die
接触,get in touch with
折磨,Torture
骗子,fraud
明星,Celebrity
经验,Experience
小伙子,Boy
ﺗ,ت
前进,go ahead
西,WEAT
美女,Beauty
一部,One
性,sex
至,to
好运,good luck
尽力,Try
密码,password
赌,bet
刺激,Stimulate
以来,since
承诺,promise
艺术,Art
子,son
耍,Play
让开,Step aside
烧,burn
明明,Clear
惊讶,surprise
免费,free
案件,case
女孩子,Girl
天呐,Scorpion
惩罚,punish
释放,freed
吵,Quarrel
位,Position
顺便,In one way
无辜,innocent
老鼠,mouse
采取,take
联络,contact
展示,exhibit
无关,Unrelated
卻,but
箱子,box
挑战,challenge
讲话,Speech
练习,Exercise
点儿,Point
从来不,never
楼上,upstairs
擔心,Worry
实现,accomplish
脖子,neck
理论,theory
关键,The essential
電話,telephone
聚会,reunion
推,push
洛杉矶,Los Angeles
方便,convenient
耳朵,ear
数字,number
世纪,century
奇迹,Miracle
各种,Various
窗户,window
罪犯,criminal
破,break
呼叫,call
气,gas
仅仅,only
手术,Operation
说服,persuade
死定了,Dead
清理,Clean up
宣布,Announce
启动,start up
能量,energy
分开,Separate
车子,Car
室,room
ネ,Bamboo
加上,Plus
车上,Car
印象,impression
天空,Sky
天气,weather
小时候,Hour
游泳,swim
拜拜,Bye-Bye
滚开,Go out
大部分,most
教练,coach
に,に
哟,Yo
我用,I use
集,set
阿姨,Aunt
估计,estimate
科学,science
而言,In terms of
乐意,willing
鼻子,nose
不錯,good
地区,area
塔,tower
杀害,kill
孤独,Lonely
声,Voice
拿来,Take
寫,Write
喝点,Drink
夏天,summer
十年,ten years
如今,now
某人,Someone
元,Yuan
不像,Be unlikely
欧洲,Europe
船上,Board
ﻋ,ع
肚子,abdomen
大声,Loud
手里,In hand
红色,Red
婴儿,baby
旧,old
环境,surroundings
团队,team
神奇,Magic
年纪,age
唉,Ugh
瞧瞧,Look at
熊,Bear
年代,Era
上学,go to school
大量,Large amount
快去,Go back
伤心,sad
何时,when
别忘了,do not forget
紧急,urgent
布,cloth
暴力,Violence
付出,pay
尽量,As far as possible
太多,too much
伤,hurt
互相,each other
繼續,continue
无论如何,anyway
空气,Air
邻居,neighbour
某种,Some kind
想过,Think
他人,others
规则,rule
我妈,my mother
司机,driver
好奇,curious
城,city
打破,break in
信仰,Belief
ﻌ,ع
不可思议,Incident
ﺔ,Bamboo
付,pay
持续,continued
逃,escape
朝,towards
无所谓,No matter
协议,protocol
父親,Father
假如,if
阁下,Your Mightiness
愿,willing
打赌,bet
城堡,Castle
退后,Retreat
说不定,maybe
菜,vegetable
彻底,thorough
地图,map
牧师,Priest
墨西哥,Mexico
词,word
重复,repeat
犯人,Prisoner
我爸,My Father
妓,prostitute
运气,luck
不太,Not too
华文,Chinese
早晨,morning
幹什麼,What
一对,Pair
小孩子,child
相同,same
裤子,Pants
聊,chat
规矩,rule
到来,arrival
真棒,Awesome
逃走,escape
近,close
程序,program
发出,issue
