,Chinese,English,Pinyin
147,一直,Always,yīzhí
148,所有,all,suǒyǒu
149,找到,turn up,zhǎodào
150,什麼,what,shénme
151,哪,where,nǎ
152,当然,Of course,dāngrán
153,们,Weies,men
154,回来,return,huílai
155,不想,In no mood,bùxiǎng
156,更,Even,gēng
157,最,most,zuì
158,帮,help,bāng
159,没事,fine,méishì
160,只,only,zhī
161,那些,Those ones,nàxiē
162,可,Can,kě
163,明白,clear,míngbai
164,的话,if,dehuà
165,爸爸,dad,bàba
166,下,Down,xià
167,太,too,tài
168,离开,Leave,líkāi
169,一切,everything,yīqiè
170,时间,time,shíjiān
171,相信,Believe,xiāngxìn
172,妈妈,mother,māma
173,想要,want to,xiǎngyào
174,爱,Love,ài
175,发生,occur,fāshēng
176,打,hit,dǎ
177,点,point,diǎn
178,來,Come,lái
179,钱,money,qián
180,大,Big,dà
181,起来,stand up,qǐlai
182,真是,Really,zhēnshi
183,你好,Hello,nǐhǎo
184,抱歉,Feel sorry,bàoqiàn
185,必须,must,bìxū
186,认为,think,rènwéi
187,一点,a little,yīdiǎn
188,非常,Very,fēicháng
189,那里,There,nàli
190,对不起,Sorry,duìbuqǐ
191,天,sky,tiān
192,也许,Maybe,yěxǔ
193,大家,Everyone,dàjiā
194,哪里,where,nǎlǐ
195,有人,Someone,yǒurén
196,该,Should,gāi
197,意思,mean,yìsi
198,杀,kill,shā
199,准备,Prepare,zhǔnbèi
200,并,and,bìng
201,出来,come out,chūlái
202,与,and,yǔ
203,时,Time,shí
204,不过,but,bùguò
205,一些,Some,yīxiē
206,为了,for,wèile
207,带,belt,dài
208,女人,woman,nǚrén
209,这儿,here,zhèr
210,后,Rear,hòu
211,只有,only,zhǐyǒu
212,过来,come over,guòlái
213,比,Compare,bǐ
214,一次,once,yīcì
215,得到,get,dédào
216,и,и,и
217,很多,a lot of,hěnduō
218,任何,any,rènhé
219,这种,This,zhèzhǒng
220,小,small,xiǎo
221,怎么样,How about it,zěnmeyàng
222,對,right,duì
223,感觉,Feel,gǎnjué
224,年,year,nián
225,是不是,Yes or no,shìbùshì
226,以为,Think,yǐwéi
227,而且,and,érqiě
228,前,forward,qián
229,生活,Life,shēnghuó
230,男人,man,nánrén
231,之前,Before,zhīqián
232,喂,Hey,wèi
233,问,ask,wèn
234,发现,Find,fāxiàn
235,噢,Oh,ō
236,可是,But,kěshì
237,快点,hurry up,kuàidiǎn
238,嗨,Hi,hāi
239,妈,mom,mā
240,两个,two,liǎnggè
241,不用,No need to,bùyòng
242,地,land,dì
243,向,Towards,xiàng
244,名字,name,míngzì
245,没错,Be right,méicuò
246,见,See,jiàn
247,世界,world,shìjiè
248,沒,No,méi
249,记得,Remember,jìde
250,住,live,zhù
251,新,new,xīn
252,不错,good,bùcuò
253,肯定,affim,kěndìng
254,最好,most,zuìhǎo
255,不行,no,bùxíng
256,等等,etc,děngděng
257,嘛,Well,ma
258,出去,go out,chūqù
259,么,?,me
260,先,First,xiān
261,為,for,wéi
262,亲爱,dear,qīnài
263,或,or,huò
264,他們,them,tāmen
265,担心,Worry,dānxīn
266,如何,how,rúhé
267,到底,in the end,dàodǐ
268,有点,A bit,yǒudiǎn
269,最后,At last,zuìhòu
270,小姐,Miss,xiǎojie
271,上帝,God,shàngdì
272,认识,know,rènshi
273,會,meeting,huì
274,正在,Be in,zhèngzài
275,那样,Then,nàyàng
276,父亲,Father,fùqīn
277,高兴,Happy,gāoxìng
278,明天,tomorrow,míngtiān
279,重要,important,zhòngyào
280,跑,run,pǎo
281,警察,Policemen,jǐngchá
282,只要,if only,zhǐyào
283,干什么,What,gànshénme
284,好像,like,hǎoxiàng
285,再见,goodbye,zàijiàn
286,月,moon,yuè
287,我能,I can,wǒnéng
288,继续,continue,jìxù
289,出,out,chū
290,今晚,tonight,jīnwǎn
291,他妈的,damn it,tāmāde
292,回家,go home,huíjiā
293,它们,they,tāmen
294,多少,How many,duōshǎo
295,电话,telephone,diànhuà
296,听到,Hear,tīngdào
297,干嘛,what,gànmá
298,干,Do,gān
299,医生,Doctor,yīshēng
300,要是,if,yàoshi
301,女孩,girl,nǚhái
302,這,This,zhè
303,所,Place,suǒ
304,讓,let,ràng
305,马上,immediately,mǎshàng
306,过去,past,guòqu
307,以前,before,yǐqián
308,儿子,son,érzi
309,哪儿,where,nǎr
310,说话,say,shuōhuà
311,买,Buy,mǎi
312,看起来,Look,kànqǐlai
313,一個,One,yīgè
314,完全,completely,wánquán
315,该死,Damn,gāisǐ
316,美国,America,měiguó
317,怎样,how,zěnyàng
318,回去,go back,huíqu
319,以,by,yǐ
320,却,but,què
321,其他,other,qítā
322,永远,forever,yǒngyuǎn
323,家伙,Guy,jiāhuo
324,之后,after,zhīhòu
325,怎麼,how,zěnme
326,看见,see,kànjiàn
327,或者,or,huòzhě
328,小心,Be careful,xiǎoxīn
329,行,Row,xíng
330,别人,other people,biéren
331,成为,become,chéngwéi
332,写,Write,xiě
333,不到,Not,bùdào
334,情况,condition,qíngkuàng
335,送,deliver,sòng
336,伙计,Buddy,huǒji
337,一天,one day,yītiān
338,玩,Play,wán
339,见到,See,jiàndào
340,放,put,fàng
341,晚上,night,wǎnshàng
342,喝,drink,hē
343,总是,always,zǒngshì
344,好好,well,hǎohǎo
345,琌,Bamboo,琌
346,号,No,hào
347,如此,in this way,rúcǐ
348,家,Family,jiā
349,坐,sit,zuò
350,了解,learn,liǎojiě
351,有没有,Do you have,yǒuméiyǒu
352,兄弟,brother,xiōngdì
353,没什么,nothing,méishénme
354,我来,I come,wǒlái
355,结束,Finish,jiéshù
356,机会,Chance,jīhuì
357,已,already,yǐ
358,安全,Safety,ānquán
359,拜托,Pleased,bàituō
360,决定,Decide,juédìng
361,穿,Put on,chuān
362,确定,Sure,quèdìng
363,里面,in,lǐmiàn
364,呃,Uh,è
365,怎么办,what to do,zěnmebàn
366,还好,It's not bad,háihǎo
367,无法,Unable,wúfǎ
368,小时,Hour,xiǎoshí
369,站,stand,zhàn
370,清楚,clear,qīngchu
371,有些,some,yǒuxiē
372,错,wrong,cuò
373,這個,this,zhège
374,帮助,help,bāngzhù
375,长官,Chief,zhǎngguān
376,公司,company,gōngsī
377,打电话,Call up,dǎdiànhuà
378,房子,House,fángzi
379,根本,fundamental,gēnběn
380,懂,Understand,dǒng
381,办法,Method,bànfǎ
382,不管,in spite of,bùguǎn
383,混蛋,asshole,húndàn
384,关于,about,guānyú
385,搞,Engage in,gǎo
386,计划,plan,jìhuà
387,唯一,only,wéiyī
388,来说,Convinced,láishuō
389,女儿,daughter,nǚér
390,看着,Look at,kànzhe
391,宝贝,baby,bǎobèi
392,每个,Each,měige
393,怎么回事,what happened,zěnmehuíshì
394,個,Piece,ge
395,其实,actually,qíshí
396,漂亮,Pretty,piàoliang
397,黑体,Black body,hēitǐ
398,這樣,so,zhèyàng
399,车,vehicle,chē
400,人们,people,rénmen
401,真正,real,zhēnzhèng
402,甚至,even,shènzhì
403,那边,there,nàbian
404,弄,do,lòng
405,开,open,kāi
406,不好,not good,bùhǎo
407,喔,Oh,wo
408,回,Back,huí
409,进来,Come in,jìnlái
410,裏,inside,lǐ
411,夫人,lady,fūren
412,之,Of,zhī
413,ぃ,Bamboo,ぃ
414,愿意,willing,yuànyì
415,麻烦,trouble,máfan
416,睡,sleep,shuì
417,哇,Wow,wā
418,就要,Be,jiùyào
419,打算,Intend,dǎsuàn
420,完,Finish,wán
421,故事,story,gùshi
422,一种,A sort of,yīzhǒng
423,害怕,Fear,hàipà
424,救,save,jiù
425,手,hand,shǒu
426,房间,Room,fángjiān
427,由,Depend on,yóu
428,後,Rear,hòu
429,那儿,there,nàr
430,衣服,clothing,yīfú
431,枪,gun,qiāng
432,母亲,Mother,mǔqīn
433,另,Other,lìng
434,下来,Come down,xiàlai
435,听说,It is said that,tīngshuō
436,不了,Can't,buliǎo
437,注意,Notice,zhùyì
438,改变,Change,gǎibiàn
439,这次,this time,zhècì
440,這是,This is,zhèshì
441,没关系,It's ok,méiguānxi
442,接受,accept,jiēshòu
443,妻子,wife,qīzi
444,老,old,lǎo
445,失去,lose,shīqù
446,回到,Returning,huídào
447,們,Weies,men
448,以后,after,yǐhòu
449,话,talk,huà
450,是否,whether,shìfǒu
451,疯,Crazy,fēng
452,生命,life,shēngmìng
453,她们,they,tāmen
454,忙,busy,máng
455,进去,Go in,jìnqù
456,抓,Grasp,zhuā
457,女士,Miss,nǚshì
458,原因,reason,yuányīn
459,刚才,Just now,gāngcái
460,保护,Protect,bǎohù
461,是因为,Because of,shìyīnwèi
462,选择,choose,xuǎnzé
463,妳,you,nǐ
464,几个,several,jǐge
465,笑,laugh,xiào
466,关系,relation,guānxi
467,从来,Never,cónglái
468,他会,He can,tuòhuì
469,当时,then,dàngshí
470,出现,Appear,chūxiàn
471,结婚,marry,jiéhūn
472,些,some,xiē
473,至少,At least,zhìshǎo
474,还要,Still,háiyào
475,挺,very,tǐng
476,成功,success,chénggōng
477,奇怪,strangeness,qíguài
478,虽然,Although,suīrán
479,忘,forget,wàng
480,太好了,Very good,tàihǎole
481,身上,On,shēnshang
482,或许,perhaps,huòxǔ
483,讲,speak,jiǎng
484,你們,you,nǐmen
485,岁,age,suì
486,有个,is having a,yǒuge
487,保证,ensure,bǎozhèng
488,外面,Outside,wàimiàn
489,丈夫,husband,zhàngfu
490,连,even,lián
491,国家,nation,guójiā
492,整个,entire,zhěnggè
493,特别,very,tèbié
494,那种,That kind,nàzhǒng
495,不同,different,bùtóng
496,著,write,zhe
497,很快,soon,hěnkuài
498,变成,become,biànchéng
499,够,enough,gòu
500,难道,Rate,nándào
501,学校,School,xuéxiào
502,一件,One,yījiàn
503,样子,Look,yàngzi
504,倒,fall,dǎo
505,电影,Movie,diànyǐng
506,谈谈,Talk,tántán
507,危险,Danger,wēixiǎn
508,开心,happy,kāixīn
509,别的,Other,biéde
510,这件,this,zhèjiàn
511,才能,Can,cáinéng
512,闭嘴,Shut up,bìzuǐ
513,正,just,zhèng
514,进行,conduct,jìnxíng
515,照片,Photo,zhàopiàn
516,話,talk,huà
517,刚刚,just,gānggang
518,而已,Yet,éryǐ
519,完成,Finish,wánchéng
520,誰,Who,shuí
521,ﺎ,ا,ﺎ
522,方式,Way,fāngshì
523,做到,Do,zuòdào
524,爸,dad,bà
525,因為,because,yīnwèi
526,声音,sound,shēngyīn
527,第一次,the first time,dìyīcì
528,看来,Look,kànlai
529,只能,Can only,zhǐnéng
530,現在,now,xiànzài
531,太太,Mrs,tàitai
532,下去,Go down,xiàqù
533,绝对,absolute,juéduì
534,处理,deal with,chǔlǐ
535,欢迎,welcome,huānyíng
536,眼睛,Eye,yǎnjīng
537,通过,pass through,tōngguò
538,行动,action,xíngdòng
539,啥,What,shá
540,感到,feel,gǎndào
541,最近,recent,zuìjìn
542,聽,hear,tīng
543,各位,Allocate,gèwèi
544,这边,Here,zhèbiān
545,待,treat,dài
546,掉,Lose,diào
547,不好意思,Excuse me,bùhǎoyìsi
548,猜,Guess,cāi
549,使,make,shǐ
550,作为,Be,zuòwéi
551,于,At,yú
552,狗,dog,gǒu
553,容易,easy,róngyì
554,沒有,no,méiyǒu
555,直到,until,zhídào
556,求,begging,qiú
557,比赛,Contest,bǐsài
558,像是,Like,xiàngshì
559,麽,?,me
560,從,from,cóng
561,拉,pull,lā
562,拍,shoot,pāi
563,更好,better,gēnghǎo
564,曾,Once,zēng
565,有趣,interesting,yǒuqù
566,就算,Even if,jiùsuàn
567,活着,Alive,huózhe
568,不會,Will not,bùhuì
569,ﻟ,ل,ﻟ
570,努力,effort,nǔlì
571,帮忙,help,bāngmáng
572,留下,Leave,liúxià
573,同意,agree,tóngyì
574,参加,join,cānjiā
575,赢,win,yíng
576,死亡,die,sǐwáng
577,每,Every,měi
578,上面,above,shàngmiàn
579,结果,result,jiéguǒ
580,消息,information,xiāoxi
581,要求,Require,yāoqiú
582,理解,understand,lǐjiě
583,曾经,once,céngjīng
584,打开,Open,dǎkāi
585,收到,receive,shōudào
586,照顾,take care of,zhàogu
587,人类,Humanity,rénlèi
588,主意,idea,zhǔyi
589,保持,Keep,bǎochí
590,成,become,chéng
591,杰克,Jack,jiékè
592,存在,exist,cúnzài
593,进,Enter,jìn
594,高,high,gāo
595,晚安,Good night,wǎnān
596,确实,really,quèshí
597,全部,all,quánbù
598,靠,Depend on,kào
599,呆,stay,dāi
600,起,rise,qǐ
601,謝謝,thanks,xièxie
602,讨厌,Hate,tǎoyàn
603,俩,both,liǎ
604,硂,Bamboo,硂
605,突然,Sudden,tūrán
606,多久,how long,duōjiǔ
607,老婆,Wife,lǎopó
608,不再,no longer,bùzài
609,任何人,anyone,rènhérén
610,开玩笑,joke,kāiwánxiào
611,放在,Put in,fàngzài
612,τ,τ,τ
613,那個,that,nàgè
614,进入,Enter,jìnrù
615,父母,parents,fùmǔ
616,总统,President,zǒngtǒng
617,伤害,harm,shānghài
618,時候,when,shíhou
619,回答,answer,huídá
620,一位,One,yīwèi
621,三个,Three,sānge
622,所有人,Everyone,suǒyǒurén
623,老师,teacher,lǎoshī
624,早,morning,zǎo
625,除了,Apart from,chúle
626,派,group,pài
627,咱们,we,zánmen
628,自由,free,zìyóu
629,可爱,cute,kěài
630,日,day,rì
631,抓住,catch,zhuāzhù
632,路,road,lù
633,谈,talk,tán
634,简单,Simple,jiǎndān
635,身体,Body,shēntǐ
636,想法,idea,xiǎngfǎ
637,早上,Morning,zǎoshang
638,這麼,so,zhème
639,ﺍ,ا,ﺍ
640,能够,were able,nénggòu
641,昨晚,last night,zuówǎn
642,哥哥,elder brother,gēge
643,我爱你,I love you,wǒàinǐ
644,跳,Jump,tiào
645,秘密,secret,mìmì
646,休息,rest,xiūxi
647,战争,war,zhànzhēng
648,其中,in,qízhōng
649,内,Inside,nèi
650,医院,hospital,yīyuàn
651,每天,every day,měitiān
652,之间,between,zhījiān
653,大概,perhaps,dàgài
654,控制,control,kòngzhì
655,刚,just,gāng
656,小孩,Child,xiǎohái
657,带来,bring,dàilái
658,停止,stop,tíngzhǐ
659,因此,therefore,yīncǐ
660,花,flower,huā
661,证明,prove,zhèngmíng
662,约翰,John,yuēhàn
663,飞机,airplane,fēijī
664,替,for,tì
665,解释,explain,jiěshì
666,律师,lawyer,lǜshī
667,终于,finally,zhōngyú
668,耶,Yeah,ye
669,翻译,translate,fānyì
670,调查,investigation,diàochá
671,告訴,Tell,gàosu
672,为何,Why,wèihé
673,留在,Stay in,liúzài
674,糟糕,Oops,zāogāo
675,任务,Task,rènwu
676,武器,arms,wǔqì
677,家里,At home,jiālǐ
678,头,head,tóu
679,来自,From,láizì
680,后面,later,hòumiàn
681,小子,Boy,xiǎozi
682,来到,come,láidào
683,解决,solve,jiějué
684,其他人,other people,qítārén
685,家人,family,jiārén
686,坐下,sit down,zuòxia
687,怕,Afraid,pà
688,直接,direct,zhíjiē
689,办公室,office,bàngōngshì
690,停,stop,tíng
691,放弃,give up,fàngqì
692,鬼,ghost,guǐ
693,別,do not,bié
694,加油,come on,jiāyóu
695,方法,method,fāngfǎ
696,游戏,game,yóuxì
697,即使,even though,jíshǐ
698,本,Book,běn
699,年轻,young,niánqīng
700,大人,grown ups,dàrén
701,使用,use,shǐyòng
702,卖,Sell,mài
703,老板,boss,lǎobǎn
704,水,water,shuǐ
705,想想,Think about,xiǎngxiang
706,坐在,Sit,zuòzài
707,目标,Target,mùbiāo
708,变得,Become,biànde
709,可怕,horrible,kěpà
710,拿到,Get,nádào
711,考虑,consider,kǎolǜ
712,个人,personal,gèrén
713,开枪,shot,kāiqiāng
714,哭,cry,kū
715,睡觉,sleep,shuìjiào
716,請,Please,qǐng
717,分钟,minute,fēnzhōng
718,想到,think,xiǎngdào
719,等待,wait,děngdài
720,音乐,music,yīnyuè
721,再说,Then,zàishuō
722,聪明,clever,cōngming
723,姑娘,girl,gūniang
724,地球,Earth,dìqiú
725,感谢,grateful,gǎnxiè
726,命令,Order,mìnglìng
727,阻止,Prevent,zǔzhǐ
728,一只,One,yīzhī
729,消失,disappear,xiāoshī
730,喜歡,like,xǐhuan
731,心,Heart,xīn
732,第,First,dì
733,冷静,calm down,lěngjìng
734,似乎,seem,sìhū
735,联系,connect,liánxì
736,家庭,family,jiātíng
737,痛苦,pain,tòngkǔ
738,城市,City,chéngshì
739,力量,strength,lìliang
740,对于,for,duìyú
741,未来,future,wèilái
742,男孩,boy,nánhái
743,三,three,sān
744,博士,PhD,bóshì
745,姐姐,elder sister,jiějie
746,疯狂,crazy,fēngkuáng
747,报告,Report,bàogào
748,放下,lay down,fàngxià
749,昨天,yesterday,zuótiān
750,那天,That day,nàtiān
751,還有,and,háiyǒu
752,完美,Perfect,wánměi
753,答应,promise,dāying
754,证据,evidence,zhèngjù
755,本来,originally,běnlái
756,负责,responsible,fùzé
757,检查,an examination,jiǎnchá
758,見,See,jiàn
759,已經,already,yǐjīng
760,一条,One,yītiáo
761,厉害,Great,lìhai
762,拥有,have,yōngyǒu
763,正常,normal,zhèngcháng
764,并且,and,bìngqiě
765,否则,otherwise,fǒuzé
766,該,Should,gāi
767,以及,as well as,yǐjí
768,重新,again,chóngxīn
769,忘记,forget,wàngjì
770,这位,this,zhèwèi
771,研究,Research,yánjiū
772,附近,nearby,fùjìn
773,不然,otherwise,bùrán
774,太棒了,marvelous,tàibàngliǎo
775,很棒,great,hěnbàng
776,方正,Square,fāngzhèng
777,字幕,subtitle,zìmù
778,脸,Face,liǎn
779,者,By,zhě
780,加入,join in,jiārù
781,於,At,yú
782,唱,Sing,chàng
783,反正,Anyway,fǎnzhèng
784,不该,Should not,bùgāi
785,政府,government,zhèngfǔ
786,快乐,hapiness,kuàilè
787,身边,Beside,shēnbiān
788,遇到,meet,yùdào
789,這裡,here,zhèlǐ
790,伟大,great,wěidà
791,咖啡,coffee,kāfēi
792,接,catch,jiē
793,仍然,still,réngrán
794,门,door,mén
795,开车,drive,kāichē
796,代表,represent,dàibiǎo
797,陪,accompany,péi
798,若,like,ruò
799,尸体,Corpse,shītǐ
800,比较,compare,bǐjiào
801,一年,One year,yīnián
802,紧张,nervous,jǐnzhāng
803,监狱,prison,jiānyù
804,位置,Location,wèizhi
805,随便,Casual,suíbiàn
806,偷,steal,tōu
807,安排,arrange,ānpái
808,錢,money,qián
809,表演,Performance,biǎoyǎn
810,从没,Never,cóngméi
811,除非,unless,chúfēi
812,屁股,butt,pìgu
813,這些,These,zhèxiē
814,酒,liquor,jiǔ
815,恩,kindness,ēn
816,老兄,Brother,lǎoxiōng
817,支持,support,zhīchí
818,必要,necessary,bìyào
819,人生,Life,rénshēng
820,正确,correct,zhèngquè
821,跟着,Follow,gēnzhe
822,杀死,Kill,shāsǐ
823,交给,Give,jiāogěi
824,叔叔,uncle,shūshu
825,還是,still is,háishi
826,食物,food,shíwù
827,事实,fact,shìshí
828,简直,simply,jiǎnzhí
829,安静,Quiet,ānjìng
830,离,Leave,lí
831,一场,A game,yīcháng
832,妹妹,younger sister,mèimei
833,斯,State,sī
834,美丽,beauty,měilì
835,再次,again,zàicì
836,案子,case,ànzi
837,下面,under,xiàmiàn
838,不够,not enough,bùgòu
839,哈,what,hā
840,可怜,pitful,kělián
841,教,teach,jiào
842,殺,kill,shā
843,首先,Firstly,shǒuxiān
844,另外,in addition,lìngwài
845,提供,supply,tígōng
846,记住,remember,jìzhu
847,听见,hear,tīngjiàn
848,信,letter,xìn
849,国王,king,guówáng
850,面前,before,miànqián
851,几乎,almost,jīhū
852,日子,day,rìzi
853,那麼,So,nàme
854,舒服,Comfortable,shūfu
855,原来,original,yuánlái
856,再也,Again,zàiyě
857,操,Hold,cāo
858,纽约,New York,niǔyuē
859,早就,Long,zǎojiù
860,逼,force,bi
861,有关,related,yǒuguān
862,放开,open,fàngkāi
863,信息,information,xìnxī
864,星期,Week,xīngqī
865,不得不,have to,bùdébù
866,发誓,swear,fāshì
867,钥匙,key,yàoshi
868,错误,Mistake,cuòwù
869,放松,relax,fàngsōng
870,约会,Dating,yuēhuì
871,船,ferry,chuán
872,打扰,disturb,dǎrǎo
873,女,Female,nǚ
874,手机,mobile phone,shǒujī
875,二,two,èr
876,很大,Very big,hěndà
877,到处,everywhere,dàochù
878,攻击,attack,gōngjī
879,一份,A copy,yífèn
880,第一,First,dìyī
881,建议,suggestion,jiànyì
882,日本,Japan,rìběn
883,理由,reason,lǐyóu
884,事实上,In fact,shìshíshàng
885,一樣,Same,yīyàng
886,阿,A,ā
887,跳舞,Dance,tiàowǔ
888,生气,anger,shēngqì
889,久,Long,jiǔ
890,试试,Try,shìshi
891,信任,trust,xìnrèn
892,此,this,cǐ
893,看过,Seen,kànguò
894,差不多,almost,chàbuduō
895,原谅,forgive,yuánliàng
896,神,God,shén
897,经常,frequently,jīngcháng
898,的确,indeed,díquè
899,ㄓ,Bamboo,ㄓ
900,之一,one,zhīyī
901,幸福,happiness,xìngfú
902,哎,Hey,āi
903,便,Fool,biàn
904,马,horse,mǎ
905,算,Calculate,suàn
906,吃饭,Have a meal,chīfàn
907,璶,Bamboo,璶
908,正是,Entirely,zhèngshì
909,不必,Not necessarily,bùbì
910,最大,maximum,zuìdà
911,幸运,lucky,xìngyùn
912,丢,leave,diū
913,我家,my home,wǒjiā
914,問題,problem,wèntí
915,长,long,cháng
916,東西,thing,dōngxi
917,而是,Why,érshì
918,住手,stop,zhùshǒu
919,动物,animal,dòngwù
920,弟弟,Little brother,dìdi
921,道歉,Apologize,dàoqiàn
922,严重,severe,yánzhòng
923,人家,People,rénjiā
924,坚持,insist,jiānchí
925,想象,Imagination,xiǎngxiàng
926,按,according to,àn
927,礼物,gift,lǐwù
928,每次,Each,měicì
929,将军,General,jiāngjūn
930,剩下,remain,shèngxià
931,有事,Have something to do,yǒushì
932,老爸,Father,lǎobà
933,幫,help,bāng
934,系统,system,xìtǒng
935,全都,all,quándōu
936,组织,organization,zǔzhī
937,我會,I can,wǒhuì
938,敌人,enemy,dírén
939,看上去,Look,kànshangqu
940,應該,should,yīnggāi
941,老天,Old days,lǎotiān
942,ê,ê,ê
943,认真,serious,rènzhēn
944,分,Minute,fēn
945,书,Book,shū
946,往,Past,wǎng
947,关心,Care,guānxīn
948,坏,Bad,huài
949,骗,cheat,piàn
950,中国,China,zhōngguó
951,生意,Business,shēngyi
952,上去,Go up,shàngqu
953,值得,worth,zhíde
954,搞定,Get,gǎodìng
955,寻找,Look for,xúnzhǎo
956,派对,Party,pàiduì
957,许多,many,xǔduō
958,学生,student,xuésheng
959,查理,Charlie,chálǐ
960,下次,next time,xiàcì
961,通知,Notice,tōngzhī
962,救命,Help,jiùmìng
963,表现,Performance,biǎoxiàn
964,利用,use,lìyòng
965,受伤,Injuried,shòushāng
966,后来,later,hòulái
967,早上好,Good morning,zǎoshanghǎo
968,精神,Spirit,jīngshén
969,居然,Actually,jūrán
970,受到,Be subject to,shòudào
971,大学,University,dàxué
972,那时,At that time,nàshí
973,既然,now that,jìrán
974,几天,A few days,jǐtiān
975,有时,sometimes,yǒushí
976,米,rice,mǐ
977,总,total,zǒng
978,一张,One,yīzhāng
979,第一个,First,dìyīgè
980,真相,the truth,zhēnxiàng
981,恨,hatred,hèn
982,卡,Card,kǎ
983,不知,Don't know,bùzhī
984,远,Far,yuǎn
985,警官,police officer,jǐngguān
986,属于,belong,shǔyú
987,什,Varied,shí
988,い,Do,い
989,可不是,Be no,kěbushì
990,怪,Strange,guài
991,一名,One,yīmíng
992,怀疑,Doubt,huáiyí
993,笨蛋,Fool,bèndàn
994,战斗,fighting,zhàndòu
995,承认,admit,chéngrèn
996,馬,horse,mǎ
997,法律,law,fǎlǜ
998,别说,Don't say,biéshuō
999,简体,Simplified,jiǎntǐ
1000,记录,record,jìlù
1001,见面,Meet,jiànmiàn
1002,能力,ability,nénglì
1003,足够,enough,zúgòu
1004,帶,belt,dài
1005,瞧,Look at,qiáo
1006,同样,same,tóngyàng
1007,白痴,idiot,báichī
1008,拒绝,Refuse,jùjué
1009,影响,Influence,yǐngxiǎng
1010,画,painting,huà
1011,其,That,qí
1012,德,Morality,dé
1013,交易,trade,jiāoyì
1014,回來,return,huílai
1015,别动,do not move,biédòng
1016,管,Tube,guǎn
1017,开门,Open door,kāimén
1018,意味着,mean,yìwèizhe
1019,或是,Or,huòshì
